image, mf,amf,namf,proposed1,proposed2,proposed3,proposed4,proposed5
noiseimage/[test16]_origin_0.90.png,6.993,23.035,23.783,23.031,23.111,23.786,23.805,23.678
noiseimage/[test17]_origin_0.10.png,30.376,38.745,36.044,39.186,39.572,36.429,37.243,38.722
noiseimage/[test17]_origin_0.20.png,27.081,35.380,32.758,35.823,36.097,33.075,33.682,35.310
noiseimage/[test17]_origin_0.30.png,22.884,33.015,30.521,33.403,33.599,30.766,31.243,33.020
noiseimage/[test17]_origin_0.40.png,18.786,31.671,29.291,32.083,32.246,29.528,29.930,31.828
noiseimage/[test17]_origin_0.50.png,15.268,30.111,28.169,30.414,30.483,28.324,28.663,30.415
noiseimage/[test17]_origin_0.60.png,12.413,28.348,27.072,28.614,28.662,27.171,27.457,29.031
noiseimage/[test17]_origin_0.70.png,10.341,26.810,26.151,26.954,27.005,26.234,26.439,27.664
noiseimage/[test17]_origin_0.80.png,8.398,24.897,25.061,24.979,25.005,25.100,25.254,26.011
noiseimage/[test17]_origin_0.90.png,6.854,22.571,23.598,22.577,22.608,23.680,23.746,23.814
noiseimage/[test18]_origin_0.10.png,34.299,42.521,39.905,43.036,43.332,40.245,40.716,42.458
noiseimage/[test18]_origin_0.20.png,29.828,39.470,36.881,39.901,40.053,37.121,37.504,39.344
noiseimage/[test18]_origin_0.30.png,24.011,37.339,34.827,37.719,37.802,35.027,35.337,37.181
noiseimage/[test18]_origin_0.40.png,18.985,35.861,33.563,36.206,36.260,33.718,33.988,35.800
noiseimage/[test18]_origin_0.50.png,15.298,34.378,32.517,34.647,34.714,32.646,32.879,34.514
noiseimage/[test18]_origin_0.60.png,12.261,32.817,31.502,33.021,33.081,31.579,31.781,33.203
noiseimage/[test18]_origin_0.70.png,9.811,31.254,30.631,31.413,31.486,30.679,30.842,31.983
noiseimage/[test18]_origin_0.80.png,7.887,29.579,29.765,29.664,29.751,29.775,29.901,30.562
noiseimage/[test18]_origin_0.90.png,6.367,27.021,28.156,26.988,27.055,28.165,28.201,28.102
noiseimage/[test19]_origin_0.10.png,26.691,33.075,30.997,33.503,33.536,31.114,32.099,33.427
noiseimage/[test19]_origin_0.20.png,24.517,30.732,28.615,31.177,31.207,28.724,29.449,31.016
noiseimage/[test19]_origin_0.30.png,21.350,29.157,26.975,29.582,29.596,27.059,27.593,29.273
noiseimage/[test19]_origin_0.40.png,17.577,27.768,25.742,28.136,28.129,25.811,26.211,27.869
noiseimage/[test19]_origin_0.50.png,14.299,26.696,24.877,27.024,27.022,24.930,25.254,26.829
noiseimage/[test19]_origin_0.60.png,11.408,24.960,23.851,25.209,25.222,23.891,24.134,25.396
noiseimage/[test19]_origin_0.70.png,9.260,23.808,23.165,23.994,24.029,23.196,23.388,24.393
noiseimage/[test19]_origin_0.80.png,7.453,22.007,22.200,22.110,22.155,22.233,22.348,22.843
noiseimage/[test19]_origin_0.90.png,5.992,19.939,20.879,19.956,19.990,20.904,20.939,20.844
noiseimage/[test20]_origin_0.10.png,30.466,36.252,33.450,36.655,36.794,33.614,34.669,36.306
noiseimage/[test20]_origin_0.20.png,27.010,33.803,30.974,34.165,34.297,31.132,31.880,33.764
noiseimage/[test20]_origin_0.30.png,22.722,32.398,29.489,32.777,32.863,29.641,30.192,32.291
noiseimage/[test20]_origin_0.40.png,18.619,30.925,28.232,31.278,31.356,28.367,28.806,30.854
noiseimage/[test20]_origin_0.50.png,15.202,29.361,27.190,29.661,29.710,27.293,27.641,29.478
noiseimage/[test20]_origin_0.60.png,12.230,28.075,26.381,28.293,28.326,26.452,26.751,28.401
noiseimage/[test20]_origin_0.70.png,9.806,26.179,25.405,26.294,26.331,25.458,25.665,26.806
noiseimage/[test20]_origin_0.80.png,8.072,24.499,24.520,24.564,24.604,24.561,24.715,25.426
noiseimage/[test20]_origin_0.90.png,6.619,22.037,22.943,22.016,22.041,22.977,23.028,23.014
noiseimage/[test21]_origin_0.10.png,29.218,36.480,34.899,36.950,36.916,35.048,35.830,36.496
noiseimage/[test21]_origin_0.20.png,26.414,33.895,31.939,34.346,34.271,32.078,32.675,33.805
noiseimage/[test21]_origin_0.30.png,22.819,32.159,30.117,32.585,32.472,30.273,30.713,32.035
noiseimage/[test21]_origin_0.40.png,18.532,30.637,28.675,31.015,30.921,28.810,29.130,30.497
noiseimage/[test21]_origin_0.50.png,15.067,29.327,27.653,29.656,29.590,27.772,28.017,29.323
noiseimage/[test21]_origin_0.60.png,12.159,28.020,26.758,28.280,28.268,26.854,27.050,28.184
noiseimage/[test21]_origin_0.70.png,9.945,26.567,25.942,26.750,26.816,26.021,26.164,27.001
noiseimage/[test21]_origin_0.80.png,8.101,24.995,25.090,25.099,25.212,25.147,25.239,25.669
noiseimage/[test21]_origin_0.90.png,6.672,23.018,23.895,23.038,23.145,23.930,23.953,23.813
noiseimage/[test22]_origin_0.10.png,27.292,31.946,29.593,32.296,32.302,29.674,30.537,32.112
noiseimage/[test22]_origin_0.20.png,25.160,30.220,27.989,30.586,30.597,28.073,28.687,30.336
noiseimage/[test22]_origin_0.30.png,21.715,28.757,26.676,29.134,29.119,26.753,27.212,28.812
noiseimage/[test22]_origin_0.40.png,17.996,27.387,25.661,27.709,27.705,25.722,26.049,27.503
noiseimage/[test22]_origin_0.50.png,14.795,26.268,24.820,26.554,26.542,24.866,25.128,26.441
noiseimage/[test22]_origin_0.60.png,12.003,25.138,24.116,25.365,25.374,24.159,24.363,25.453
noiseimage/[test22]_origin_0.70.png,9.800,23.833,23.306,24.005,24.022,23.330,23.479,24.285
noiseimage/[test22]_origin_0.80.png,8.010,22.266,22.432,22.354,22.382,22.459,22.550,22.922
noiseimage/[test22]_origin_0.90.png,6.589,20.355,21.279,20.383,20.409,21.299,21.316,21.153
noiseimage/[test23]_origin_0.10.png,32.501,39.155,38.103,39.470,39.660,38.410,38.732,39.195
noiseimage/[test23]_origin_0.20.png,28.094,36.211,34.931,36.478,36.625,35.258,35.534,36.299
noiseimage/[test23]_origin_0.30.png,22.920,34.481,33.212,34.737,34.855,33.508,33.747,34.658
noiseimage/[test23]_origin_0.40.png,18.375,33.034,31.820,33.303,33.416,32.066,32.287,33.355
noiseimage/[test23]_origin_0.50.png,14.983,31.481,30.541,31.667,31.751,30.732,30.923,31.860
noiseimage/[test23]_origin_0.60.png,11.863,30.143,29.651,30.299,30.375,29.795,29.972,30.859
noiseimage/[test23]_origin_0.70.png,9.424,28.710,28.686,28.811,28.866,28.780,28.929,29.726
noiseimage/[test23]_origin_0.80.png,7.800,26.964,27.501,27.004,27.070,27.565,27.671,28.057
noiseimage/[test23]_origin_0.90.png,6.243,24.438,25.643,24.372,24.414,25.672,25.701,25.497
noiseimage/[test24]_origin_0.10.png,29.213,34.044,32.382,34.465,34.546,32.541,33.227,34.429
noiseimage/[test24]_origin_0.20.png,26.100,31.870,30.084,32.281,32.350,30.228,30.736,32.163
noiseimage/[test24]_origin_0.30.png,22.108,30.360,28.531,30.757,30.818,28.647,29.047,30.628
noiseimage/[test24]_origin_0.40.png,18.198,28.745,27.248,29.086,29.130,27.327,27.629,29.076
noiseimage/[test24]_origin_0.50.png,14.922,27.639,26.303,27.913,27.939,26.354,26.612,27.995
noiseimage/[test24]_origin_0.60.png,12.241,26.323,25.468,26.563,26.593,25.506,25.718,26.874
noiseimage/[test24]_origin_0.70.png,9.859,24.973,24.612,25.145,25.174,24.641,24.804,25.664
noiseimage/[test24]_origin_0.80.png,8.144,23.395,23.698,23.494,23.523,23.716,23.815,24.227
noiseimage/[test24]_origin_0.90.png,6.545,21.214,22.239,21.222,21.243,22.257,22.278,22.100
noiseimage/[test25]_origin_0.10.png,33.583,41.323,40.517,41.649,41.637,40.657,40.847,41.357
noiseimage/[test25]_origin_0.20.png,29.035,38.240,37.317,38.564,38.661,37.407,37.596,38.301
noiseimage/[test25]_origin_0.30.png,22.891,36.303,35.334,36.638,36.706,35.389,35.548,36.387
noiseimage/[test25]_origin_0.40.png,18.597,35.109,34.127,35.411,35.436,34.154,34.291,35.188
noiseimage/[test25]_origin_0.50.png,14.445,33.543,32.918,33.803,33.868,32.928,33.050,33.846
noiseimage/[test25]_origin_0.60.png,11.445,32.152,31.854,32.340,32.411,31.842,31.949,32.634
noiseimage/[test25]_origin_0.70.png,9.105,30.665,30.829,30.794,30.889,30.827,30.906,31.389
noiseimage/[test25]_origin_0.80.png,7.267,29.692,30.219,29.781,29.901,30.205,30.273,30.525
noiseimage/[test25]_origin_0.90.png,5.710,28.053,29.024,28.018,28.120,29.011,29.034,28.873
noiseimage/[test26]_origin_0.10.png,22.492,29.795,27.389,30.198,30.242,27.474,28.451,29.728
noiseimage/[test26]_origin_0.20.png,21.216,27.395,25.116,27.758,27.788,25.201,25.874,27.278
noiseimage/[test26]_origin_0.30.png,19.065,25.837,23.597,26.173,26.195,23.669,24.168,25.641
noiseimage/[test26]_origin_0.40.png,16.256,24.290,22.356,24.586,24.607,22.423,22.785,24.146
noiseimage/[test26]_origin_0.50.png,13.750,22.927,21.379,23.183,23.208,21.435,21.710,22.878
